id,categoryId,date,qty,rate,amount,paymentTypeId,description,createdBy,modifiedBy,createdAt,modifiedAt,isNotDeleted,expenseReportId,receiptId,vendorName,orgId,tax
1,12,2021-01-04,1.0000,5000.0000,5000.0000,1,"Travel Expenses","X Richard Cabot",NULL,"2021-01-15 10:07:28","2021-01-15 10:07:28",1,1,NULL,NULL,1,0.0000
2,12,2021-01-01,1.0000,78.0000,78.0000,1,"Accomodation Expenses","X Richard Cabot",NULL,"2021-01-15 10:33:22","2021-01-15 10:33:22",1,2,NULL,NULL,1,0.0000
3,15,2021-01-07,1.0000,600.0000,600.0000,1,Food,"X Richard Cabot","X Richard Cabot","2021-01-15 12:17:34","2021-01-15 12:18:39",0,3,NULL,NULL,1,0.0000
4,12,2021-01-13,1.0000,600.0000,600.0000,1,Food,"X Richard Cabot","X Richard Cabot","2021-01-15 12:19:24","2021-01-15 12:22:25",0,4,NULL,NULL,1,0.0000
5,12,2021-01-01,1.0000,500.0000,500.0000,4,"Travel Expenses","X Richard Cabot","X Richard Cabot","2021-01-15 12:24:17","2021-01-15 12:31:13",0,5,NULL,NULL,1,0.0000
6,12,2021-01-01,1.0000,5000.0000,5000.0000,1,"Travel Expenses","X Richard Cabot","X Richard Cabot","2021-01-15 12:26:13","2021-01-15 12:31:07",0,6,NULL,NULL,1,0.0000
7,12,2021-01-01,1.0000,500.0000,500.0000,1,"Travel Expenses","X Richard Cabot","X Richard Cabot","2021-01-15 12:31:57","2021-01-15 12:31:57",1,7,NULL,NULL,1,0.0000
8,12,2021-01-01,1.0000,500.0000,500.0000,1,"Travel Expenses","X Richard Cabot","X Richard Cabot","2021-01-15 12:32:45","2021-01-15 12:32:45",1,8,NULL,NULL,1,0.0000
9,12,2021-01-01,1.0000,7000.0000,7000.0000,1,Food,"X Richard Cabot","X Richard Cabot","2021-01-15 12:34:45","2021-01-15 12:34:45",1,9,NULL,NULL,1,0.0000
10,12,2021-01-01,1.0000,500.0000,500.0000,1,"Travel Expenses","X Richard Cabot","X Richard Cabot","2021-01-15 12:35:28","2021-01-15 12:35:28",1,10,NULL,NULL,1,0.0000
11,13,2021-01-20,1.0000,500.0000,500.0000,1,"Accomodation Expenses One","X Richard Cabot",NULL,"2021-01-28 07:29:25","2021-01-28 07:29:25",1,11,NULL,NULL,1,0.0000
12,12,2021-01-06,1.0000,5000.0000,5000.0000,1,"Accomodation Expenses Two","X Richard Cabot","X Richard Cabot","2021-01-28 07:31:02","2021-01-28 07:32:05",1,12,NULL,NULL,1,0.0000
13,12,2021-02-16,1.0000,500.0000,500.0000,4,"Travel Expenses","Gayathri Aravind","Gayathri Aravind","2021-02-02 06:29:30","2021-02-08 10:59:08",0,13,NULL,NULL,1,0.0000
14,14,2021-02-03,1.0000,540.0000,540.0000,3,"Service Charges","X Pooja Jashwitha","X Pooja Jashwitha","2021-02-03 10:39:46","2021-02-23 05:34:30",0,14,43,NULL,1,0.0000
15,12,2021-02-04,1.0000,4500.0000,4500.0000,1,"Transport service charge","X Pooja Jashwitha","SX achin Tendulkar","2021-02-04 09:23:33","2021-02-18 13:51:52",1,15,13,NULL,1,0.0000
16,15,2021-02-05,1.0000,4508.0000,4508.0000,1,"Service Charges","SX achin Tendulkar","SX achin Tendulkar","2021-02-05 10:52:07","2021-03-02 13:24:50",0,16,15,NULL,1,0.0000
17,13,2021-02-12,1.0000,780.0000,780.0000,1,"Service Charges","Subash Chandrabose","X Viswanathan Anand","2021-02-05 11:20:28","2021-03-02 11:42:51",1,17,16,NULL,1,0.0000
18,12,2021-02-16,1.0000,7800.0000,7800.0000,7,"Repair Work","Subash Chandrabose","X Viswanathan Anand","2021-02-05 11:21:08","2021-03-02 11:43:02",1,18,24,NULL,1,0.0000
19,15,2021-02-16,1.0000,742.0000,742.0000,4,"Service Charges","X Viswanathan Anand","X Viswanathan Anand","2021-02-05 12:29:33","2021-03-01 10:23:26",1,19,25,NULL,1,0.0000
20,13,2021-02-24,1.0000,741.0000,741.0000,1,"Transport service charge","X Viswanathan Anand","X Viswanathan Anand","2021-02-05 12:30:31","2021-02-05 12:30:36",0,20,26,NULL,1,0.0000
21,15,2021-02-02,1.0000,500.0000,500.0000,1,Test1,"X Divya Bharathi",NULL,"2021-02-08 06:58:33","2021-02-08 06:58:33",1,21,28,NULL,1,0.0000
22,13,2021-02-03,1.0000,200.0000,200.0000,1,Test2,"X Divya Bharathi",NULL,"2021-02-08 06:58:34","2021-02-08 06:58:34",1,22,29,NULL,1,0.0000
23,15,2021-02-03,1.0000,500.0000,500.0000,1,Test1,"Joslyn Rani",NULL,"2021-02-12 11:12:11","2021-02-12 11:12:11",1,23,NULL,NULL,1,0.0000
24,13,2021-02-02,1.0000,200.0000,200.0000,4,"Test Two","Joslyn Rani",NULL,"2021-02-12 11:12:12","2021-02-12 11:12:12",1,24,33,NULL,1,0.0000
25,12,2021-02-02,1.0000,100.0000,100.0000,1,"Client Meet","X Dinesh Babu","Gayathri Aravind","2021-02-16 08:46:08","2021-02-16 09:15:06",1,25,NULL,NULL,1,0.0000
26,12,2021-02-03,1.0000,110.0000,110.0000,1,"Client Meet 2","X Dinesh Babu","Gayathri Aravind","2021-02-16 08:49:31","2021-02-16 09:21:44",1,26,NULL,NULL,1,0.0000
27,12,2021-02-04,1.0000,30.0000,30.0000,1,"Air Travel","X Dinesh Babu","X Dinesh Babu","2021-02-16 09:06:48","2021-02-16 09:07:35",1,27,NULL,NULL,1,0.0000
28,12,2021-02-05,1.0000,50.0000,50.0000,1,"Air Travel 2","X Dinesh Babu","X Dinesh Babu","2021-02-16 09:09:29","2021-02-16 09:10:07",1,28,NULL,NULL,1,0.0000
29,12,2021-02-08,1.0000,230.0000,230.0000,1,"Air Travel 3","X Dinesh Babu","X Dinesh Babu","2021-02-16 09:11:56","2021-02-16 09:12:29",1,29,NULL,NULL,1,0.0000
30,14,2021-01-05,1.0000,100.0000,100.0000,1,R1,"X Dinesh Babu","X Dinesh Babu","2021-02-16 09:31:33","2021-02-16 13:28:45",0,30,34,NULL,1,0.0000
31,14,2021-01-05,1.0000,200.0000,200.0000,4,R2,"X Dinesh Babu",NULL,"2021-02-16 09:31:33","2021-02-16 09:31:33",1,31,NULL,NULL,1,0.0000
32,14,2021-01-05,1.0000,300.0000,300.0000,7,R3,"X Dinesh Babu","X Dinesh Babu","2021-02-16 09:31:33","2021-02-16 13:28:51",0,32,35,NULL,1,0.0000
33,14,2021-01-05,1.0000,400.0000,400.0000,3,R4,"X Dinesh Babu","X Dinesh Babu","2021-02-16 09:31:34","2021-02-16 09:32:55",1,33,NULL,NULL,1,0.0000
34,14,2021-01-05,1.0000,500.0000,500.0000,2,R5,"X Dinesh Babu","X Dinesh Babu","2021-02-16 09:31:34","2021-02-16 13:28:38",0,34,NULL,NULL,1,0.0000
35,13,2021-02-03,1.0000,110.0000,110.0000,1,"Air Travel","Gayathri Aravind",NULL,"2021-02-18 13:06:14","2021-02-18 13:06:14",1,35,NULL,NULL,1,0.0000
36,13,2021-02-03,1.0000,500.0000,500.0000,3,"Air Travel 5","Gayathri Aravind",NULL,"2021-02-18 13:06:26","2021-02-18 13:06:26",1,36,NULL,NULL,1,0.0000
37,13,2021-02-02,1.0000,500.0000,500.0000,1,"Travel Expenses","Gayathri Aravind","Gayathri Aravind","2021-02-18 13:07:00","2021-02-25 11:11:45",1,37,32,NULL,1,0.0000
38,15,2021-02-02,1.0000,200.0000,200.0000,1,Test2,"Gayathri Aravind",NULL,"2021-02-18 13:08:49","2021-02-18 13:08:49",1,38,39,NULL,1,0.0000
39,13,2021-02-18,1.0000,712.0000,712.0000,1,Service,"X Pooja Jashwitha","SX achin Tendulkar","2021-02-18 13:41:02","2021-02-18 13:51:35",1,39,NULL,NULL,1,0.0000
40,13,2021-02-03,1.0000,50.0000,50.0000,4,"Label Check","X Dinesh Babu","X Dinesh Babu","2021-02-19 04:02:16","2021-02-19 04:03:27",1,40,NULL,NULL,1,0.0000
41,13,2021-02-16,1.0000,475.0000,475.0000,4,"Service Charges","Abdul kalam","Abdul kalam","2021-02-22 12:44:10","2021-03-02 07:49:33",1,41,41,NULL,1,0.0000
42,12,2021-02-09,1.0000,500.0000,500.0000,4,"Air Travel 6","Gayathri Aravind","Gayathri Aravind","2021-02-26 05:46:55","2021-02-26 05:53:34",1,42,53,NULL,1,0.0000
43,15,2021-03-03,1.0000,500.0000,500.0000,7,Test1,"Gayathri Aravind",NULL,"2021-03-01 07:32:04","2021-03-01 07:32:04",1,43,NULL,NULL,1,0.0000
44,15,2021-03-02,1.0000,2000.0000,2000.0000,1,"Test Two","Gayathri Aravind",NULL,"2021-03-01 07:32:04","2021-03-01 07:32:04",1,44,NULL,NULL,1,0.0000
45,16,2021-03-01,1.0000,4520.0000,4520.0000,1,Service,"Joslyn Rani",NULL,"2021-03-01 08:39:05","2021-03-01 08:39:05",1,45,NULL,NULL,1,0.0000
46,13,2021-03-08,1.0000,452.0000,452.0000,1,"Service Charges","X Pooja Jashwitha","X Pooja Jashwitha","2021-03-01 10:08:50","2021-04-09 05:25:28",1,46,94,NULL,1,0.0000
47,15,2021-03-01,1.0000,712.0000,712.0000,1,"Transport service charge","Abdul kalam","Abdul kalam","2021-03-01 10:11:00","2021-03-01 10:13:14",1,47,NULL,NULL,1,0.0000
48,16,2021-03-01,1.0000,742.0000,742.0000,1,"Service Charges","X Mary Robinson","X Mary Robinson","2021-03-01 10:15:28","2021-03-01 10:15:39",1,48,NULL,NULL,1,0.0000
49,16,2021-03-01,1.0000,500.0000,500.0000,1,Service,"X Viswanathan Anand","X Viswanathan Anand","2021-03-01 10:24:18","2021-03-01 10:24:30",1,49,NULL,NULL,1,0.0000
50,12,2021-01-04,1.0000,7524.0000,7524.0000,1,Service,"Joslyn Rani",NULL,"2021-03-01 12:52:26","2021-03-01 12:52:26",1,50,62,NULL,1,0.0000
51,12,2021-03-01,1.0000,412.0000,412.0000,1,Service,"X Nehru j","X Nehru j","2021-03-01 14:09:43","2021-03-01 14:09:54",1,51,NULL,NULL,1,0.0000
52,15,2021-03-10,1.0000,71.0000,71.0000,4,"Service Charges","X Nehru j",NULL,"2021-03-01 14:10:34","2021-03-01 14:10:34",1,52,NULL,NULL,1,0.0000
53,13,2021-03-08,1.0000,40.0000,40.0000,1,Service3,"X Nehru j",NULL,"2021-03-01 14:15:44","2021-03-01 14:15:44",1,53,NULL,NULL,1,0.0000
54,15,2021-03-01,1.0000,100.0000,100.0000,1,Expenses,"X Pooja Jashwitha","SX achin Tendulkar","2021-03-01 14:19:57","2021-03-02 05:32:57",1,54,NULL,NULL,1,0.0000
55,13,2021-03-02,1.0000,120.0000,120.0000,1,Service3,"Abdul kalam",NULL,"2021-03-02 07:51:56","2021-03-02 07:51:56",1,55,63,NULL,1,0.0000
56,12,2021-03-02,1.0000,1000.0000,1000.0000,1,Ashwini,"Abdul kalam","Abdul kalam","2021-03-02 08:00:40","2021-03-03 08:52:19",0,56,65,NULL,1,0.0000
57,13,2021-03-02,1.0000,500.0000,500.0000,7,Devi,"Abdul kalam","Abdul kalam","2021-03-02 08:00:40","2021-03-02 08:00:54",0,57,67,NULL,1,0.0000
58,15,2021-03-03,1.0000,1000.0000,1000.0000,1,Devi,"Abdul kalam","Abdul kalam","2021-03-02 08:03:20","2021-03-02 08:03:31",0,58,70,NULL,1,0.0000
59,14,2021-03-02,1.0000,7.0000,7.0000,3,Service1,"Abdul kalam",NULL,"2021-03-02 08:06:45","2021-03-02 08:06:45",1,59,73,NULL,1,0.0000
60,16,2021-03-02,1.0000,2.0000,2.0000,1,Service3,"X Viswanathan Anand","X Viswanathan Anand","2021-03-02 08:59:32","2021-03-02 11:41:57",1,60,74,NULL,1,0.0000
